element,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,threat,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,gameweek_x,fdr,total_points,total_points_cumulative,assists_in_prev_1,assists_in_prev_3,assists_in_prev_5,assists_in_prev_10,bonus_in_prev_1,bonus_in_prev_3,bonus_in_prev_5,bonus_in_prev_10,bps_in_prev_1,bps_in_prev_3,bps_in_prev_5,bps_in_prev_10,clean_sheets_in_prev_1,clean_sheets_in_prev_3,clean_sheets_in_prev_5,clean_sheets_in_prev_10,goals_conceded_in_prev_1,goals_conceded_in_prev_3,goals_conceded_in_prev_5,goals_conceded_in_prev_10,goals_scored_in_prev_1,goals_scored_in_prev_3,goals_scored_in_prev_5,goals_scored_in_prev_10,minutes_in_prev_1,minutes_in_prev_3,minutes_in_prev_5,minutes_in_prev_10,own_goals_in_prev_1,own_goals_in_prev_3,own_goals_in_prev_5,own_goals_in_prev_10,penalties_missed_in_prev_1,penalties_missed_in_prev_3,penalties_missed_in_prev_5,penalties_missed_in_prev_10,penalties_saved_in_prev_1,penalties_saved_in_prev_3,penalties_saved_in_prev_5,penalties_saved_in_prev_10,red_cards_in_prev_1,red_cards_in_prev_3,red_cards_in_prev_5,red_cards_in_prev_10,yellow_cards_in_prev_1,yellow_cards_in_prev_3,yellow_cards_in_prev_5,yellow_cards_in_prev_10,saves_in_prev_1,saves_in_prev_3,saves_in_prev_5,saves_in_prev_10,selected_in_prev_1,selected_in_prev_3,selected_in_prev_5,selected_in_prev_10,threat_in_prev_1,threat_in_prev_3,threat_in_prev_5,threat_in_prev_10,transfers_in_in_prev_1,transfers_in_in_prev_3,transfers_in_in_prev_5,transfers_in_in_prev_10,transfers_out_in_prev_1,transfers_out_in_prev_3,transfers_out_in_prev_5,transfers_out_in_prev_10,total_points_in_prev_1,total_points_in_prev_3,total_points_in_prev_5,total_points_in_prev_10,fdr_in_prev_1,fdr_in_prev_2,fdr_in_prev_3
1,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,27882,0.0,-1929,135,2064,51,True,0,38,2,0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,107.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,27882.0,87508.0,146819.0,289803.0,0.0,0.0,31.0,65.0,135.0,1660.0,3694.0,13226.0,2064.0,3225.0,4387.0,11428.0,0.0,0.0,2.0,17.0,,,
2,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,74713,0.0,-565,4229,4794,52,True,0,38,2,0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,88.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74713.0,224202.0,382296.0,860451.0,0.0,0.0,33.0,67.0,4229.0,9250.0,12317.0,108750.0,4794.0,12397.0,24153.0,119141.0,0.0,0.0,3.0,19.0,,,
3,0,0,6,0,10.4,1,0,1.8,5.8,33,0,0,0,0,0,39698,2.0,920,1501,581,52,True,0,38,2,1,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,39.0,127.0,0.0,0.0,0.0,2.0,1.0,2.0,5.0,9.0,0.0,0.0,0.0,0.0,33.0,128.0,301.0,681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,39698.0,115883.0,191902.0,380772.0,2.0,8.0,14.0,14.0,1501.0,2615.0,3944.0,14484.0,581.0,1358.0,2257.0,8588.0,1.0,3.0,6.0,21.0,,,
4,0,0,15,0,22.5,2,0,6.3,19.2,90,0,0,0,0,0,167330,21.0,355,1577,1222,45,True,0,38,2,1,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,21.0,26.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,90.0,104.0,105.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,167330.0,500933.0,837610.0,1700733.0,21.0,21.0,21.0,21.0,1577.0,2326.0,3401.0,32219.0,1222.0,3263.0,6460.0,33559.0,1.0,2.0,3.0,4.0,,,
5,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,98028,0.0,-336,632,968,48,True,0,38,2,0,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98028.0,294891.0,495078.0,1048678.0,0.0,0.0,0.0,0.0,632.0,1228.0,1662.0,57115.0,968.0,2840.0,6423.0,50223.0,0.0,0.0,0.0,0.0,,,
6,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,17892,0.0,-15,25,40,50,True,0,38,2,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17892.0,53687.0,89528.0,179358.0,0.0,0.0,0.0,0.0,25.0,49.0,60.0,118.0,40.0,78.0,116.0,394.0,0.0,0.0,0.0,0.0,,,
7,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,5657,0.0,5,26,21,50,True,0,38,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5657.0,16941.0,28217.0,56400.0,0.0,0.0,0.0,0.0,26.0,49.0,64.0,168.0,21.0,41.0,59.0,225.0,0.0,0.0,0.0,0.0,,,
8,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2785,0.0,-3,10,13,43,True,0,38,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2785.0,8359.0,13931.0,27948.0,0.0,0.0,0.0,0.0,10.0,22.0,33.0,88.0,13.0,23.0,44.0,171.0,0.0,0.0,0.0,0.0,,,
9,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,1584,0.0,-6,22,28,45,True,0,38,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.0,4744.0,7897.0,15773.0,0.0,0.0,0.0,0.0,22.0,46.0,52.0,104.0,28.0,43.0,49.0,127.0,0.0,0.0,0.0,0.0,,,
10,0,0,10,0,0.3,2,0,3.4,20.2,90,0,0,0,0,0,19087,13.0,2872,3632,760,44,True,1,38,2,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,36.0,36.0,100.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,8.0,0.0,0.0,0.0,0.0,90.0,270.0,270.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,19087.0,46190.0,73026.0,130620.0,13.0,13.0,13.0,19.0,3632.0,6181.0,6876.0,17348.0,760.0,1950.0,4829.0,8250.0,0.0,4.0,4.0,15.0,,,
