element,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,threat,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,gameweek_x,fdr,total_points,total_points_cumulative,assists_in_prev_1,assists_in_prev_3,assists_in_prev_5,assists_in_prev_10,bonus_in_prev_1,bonus_in_prev_3,bonus_in_prev_5,bonus_in_prev_10,bps_in_prev_1,bps_in_prev_3,bps_in_prev_5,bps_in_prev_10,clean_sheets_in_prev_1,clean_sheets_in_prev_3,clean_sheets_in_prev_5,clean_sheets_in_prev_10,goals_conceded_in_prev_1,goals_conceded_in_prev_3,goals_conceded_in_prev_5,goals_conceded_in_prev_10,goals_scored_in_prev_1,goals_scored_in_prev_3,goals_scored_in_prev_5,goals_scored_in_prev_10,minutes_in_prev_1,minutes_in_prev_3,minutes_in_prev_5,minutes_in_prev_10,own_goals_in_prev_1,own_goals_in_prev_3,own_goals_in_prev_5,own_goals_in_prev_10,penalties_missed_in_prev_1,penalties_missed_in_prev_3,penalties_missed_in_prev_5,penalties_missed_in_prev_10,penalties_saved_in_prev_1,penalties_saved_in_prev_3,penalties_saved_in_prev_5,penalties_saved_in_prev_10,red_cards_in_prev_1,red_cards_in_prev_3,red_cards_in_prev_5,red_cards_in_prev_10,yellow_cards_in_prev_1,yellow_cards_in_prev_3,yellow_cards_in_prev_5,yellow_cards_in_prev_10,saves_in_prev_1,saves_in_prev_3,saves_in_prev_5,saves_in_prev_10,selected_in_prev_1,selected_in_prev_3,selected_in_prev_5,selected_in_prev_10,threat_in_prev_1,threat_in_prev_3,threat_in_prev_5,threat_in_prev_10,transfers_in_in_prev_1,transfers_in_in_prev_3,transfers_in_in_prev_5,transfers_in_in_prev_10,transfers_out_in_prev_1,transfers_out_in_prev_3,transfers_out_in_prev_5,transfers_out_in_prev_10,total_points_in_prev_1,total_points_in_prev_3,total_points_in_prev_5,total_points_in_prev_10,fdr_in_prev_1,fdr_in_prev_2,fdr_in_prev_3
11,1,3,68,0,14.2,2,2,18.6,94.4,90,0,0,0,0,0,1759479,77.0,51984,103473,51489,109,True,0,38,2,16,209,1.0,1.0,1.0,2.0,3.0,3.0,5.0,8.0,68.0,78.0,112.0,205.0,0.0,0.0,0.0,3.0,2.0,3.0,6.0,10.0,2.0,2.0,3.0,5.0,90.0,212.0,392.0,833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1759479.0,5040308.0,8501816.0,18508201.0,77.0,101.0,164.0,454.0,103473.0,171401.0,235642.0,1111516.0,51489.0,186969.0,352747.0,1368555.0,16.0,19.0,29.0,53.0,,,
12,1,0,9,0,0.3,1,0,0.8,0.0,56,0,0,0,0,0,188113,8.0,11713,22280,10567,92,True,0,38,2,4,120,1.0,2.0,2.0,3.0,0.0,3.0,4.0,7.0,9.0,46.0,71.0,110.0,0.0,0.0,1.0,2.0,1.0,3.0,5.0,7.0,0.0,1.0,2.0,3.0,56.0,203.0,363.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,188113.0,512203.0,807488.0,1657889.0,8.0,31.0,72.0,232.0,22280.0,51975.0,56645.0,169533.0,10567.0,15318.0,24154.0,126992.0,4.0,16.0,24.0,40.0,,,
13,0,0,8,0,11.0,1,0,2.3,10.2,33,0,0,0,0,0,127193,2.0,9521,15058,5537,43,True,0,38,2,1,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,-3.0,40.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,1.0,33.0,123.0,127.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127193.0,344322.0,642011.0,1423427.0,2.0,31.0,31.0,101.0,15058.0,19259.0,32794.0,286450.0,5537.0,30926.0,98804.0,230719.0,1.0,3.0,1.0,12.0,,,
14,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,319622,0.0,-5272,125,5397,48,True,0,38,2,0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319622.0,974820.0,1656038.0,4049734.0,0.0,0.0,0.0,0.0,125.0,253.0,372.0,502103.0,5397.0,15449.0,38276.0,419528.0,0.0,0.0,0.0,2.0,,,
15,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,80453,0.0,-476,263,739,69,True,0,38,2,0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80453.0,242298.0,408574.0,1036103.0,0.0,0.0,0.0,0.0,263.0,400.0,470.0,155969.0,739.0,2440.0,8150.0,150191.0,0.0,0.0,0.0,0.0,,,
16,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,55335,0.0,-14,48,62,67,True,0,38,2,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55335.0,166029.0,276805.0,554488.0,0.0,0.0,0.0,0.0,48.0,92.0,118.0,285.0,62.0,155.0,258.0,1067.0,0.0,0.0,0.0,0.0,,,
17,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,66150,0.0,-92,247,339,56,True,0,38,2,0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,59.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,62.0,141.0,429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66150.0,198502.0,331221.0,663794.0,0.0,7.0,26.0,36.0,247.0,600.0,956.0,3605.0,339.0,760.0,1959.0,4700.0,0.0,3.0,5.0,14.0,,,
18,0,0,12,0,2.6,2,0,1.4,11.2,90,0,0,0,0,0,58719,0.0,457,2429,1972,51,True,1,38,2,1,74,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,12.0,29.0,63.0,115.0,0.0,0.0,0.0,3.0,2.0,3.0,6.0,6.0,0.0,0.0,0.0,1.0,90.0,225.0,405.0,675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,58719.0,173531.0,287597.0,587603.0,0.0,0.0,0.0,25.0,2429.0,5940.0,9357.0,49412.0,1972.0,4491.0,7940.0,36324.0,1.0,3.0,10.0,25.0,,,
19,0,0,2,0,1.6,0,0,0.1,0.0,18,0,0,0,0,0,78754,0.0,-213,167,380,47,True,0,38,2,1,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,18.0,119.0,129.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,78754.0,236777.0,395719.0,809915.0,0.0,8.0,8.0,8.0,167.0,361.0,653.0,13575.0,380.0,997.0,2016.0,15217.0,1.0,1.0,2.0,2.0,,,
20,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,36434,0.0,-575,134,709,42,True,0,38,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36434.0,110952.0,187509.0,383713.0,0.0,0.0,0.0,0.0,134.0,456.0,1327.0,10894.0,709.0,1891.0,3804.0,15035.0,0.0,0.0,0.0,0.0,,,
21,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,571343,0.0,7420,30477,23057,41,True,0,38,2,0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,571343.0,1645541.0,2746437.0,5635286.0,0.0,0.0,0.0,0.0,30477.0,58314.0,86694.0,599293.0,23057.0,61232.0,122115.0,355360.0,0.0,0.0,0.0,4.0,,,
22,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,77178,0.0,-5208,1311,6519,41,False,0,38,2,0,40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,16.0,44.0,63.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,114.0,204.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,77178.0,247462.0,405637.0,765465.0,0.0,0.0,4.0,21.0,1311.0,9446.0,14912.0,52039.0,6519.0,9636.0,13960.0,31601.0,0.0,2.0,9.0,18.0,,,
23,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,3588,0.0,-6,26,32,42,False,0,38,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3588.0,10769.0,18004.0,36323.0,0.0,0.0,0.0,0.0,26.0,46.0,86.0,265.0,32.0,67.0,161.0,556.0,0.0,0.0,0.0,0.0,,,
24,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,17539,0.0,-455,63,518,42,False,0,38,2,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17539.0,54142.0,92162.0,182721.0,0.0,0.0,0.0,2.0,63.0,245.0,1695.0,8906.0,518.0,1760.0,2414.0,7080.0,0.0,0.0,2.0,5.0,,,
25,0,0,5,0,0.0,1,0,0.7,7.2,14,0,0,0,0,0,7451,0.0,-146,192,338,44,False,0,38,2,1,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,15.0,75.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,12.0,0.0,0.0,0.0,2.0,14.0,14.0,104.0,554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7451.0,23207.0,40683.0,74384.0,0.0,0.0,6.0,201.0,192.0,336.0,1773.0,6695.0,338.0,1803.0,2553.0,4425.0,1.0,1.0,2.0,20.0,,,
26,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,5723,0.0,-2,33,35,54,False,0,38,2,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5723.0,17176.0,28705.0,57612.0,0.0,0.0,0.0,0.0,33.0,47.0,90.0,190.0,35.0,66.0,130.0,395.0,0.0,0.0,0.0,0.0,,,
27,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,25958,0.0,-1114,230,1344,43,False,0,38,2,0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,25958.0,83589.0,148077.0,296585.0,0.0,0.0,0.0,0.0,230.0,481.0,1480.0,47407.0,1344.0,4257.0,8090.0,27244.0,0.0,0.0,0.0,8.0,,,
28,0,0,12,1,39.4,0,0,5.3,12.0,75,0,0,0,0,0,12028,2.0,361,680,319,57,False,0,38,2,3,88,0.0,1.0,2.0,3.0,0.0,2.0,2.0,3.0,12.0,44.0,70.0,117.0,1.0,2.0,3.0,3.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,75.0,237.0,348.0,565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12028.0,34745.0,56748.0,113992.0,2.0,19.0,63.0,125.0,680.0,1449.0,1538.0,5424.0,319.0,559.0,986.0,3760.0,3.0,13.0,20.0,30.0,,,
29,0,3,21,0,12.4,1,1,11.2,37.6,90,0,0,0,0,0,1101271,62.0,8869,44008,35139,59,False,0,38,2,10,153,0.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,21.0,62.0,80.0,119.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,13.0,1.0,1.0,1.0,1.0,90.0,270.0,450.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1101271.0,3286075.0,5657154.0,14386165.0,62.0,108.0,146.0,202.0,44008.0,71498.0,102801.0,1451973.0,35139.0,134698.0,344525.0,1383300.0,10.0,16.0,21.0,29.0,,,
30,0,0,3,0,0.0,0,0,0.0,0.0,1,0,0,0,0,0,55317,0.0,-1153,441,1594,52,False,0,38,2,1,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,8.0,42.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0,27.0,86.0,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55317.0,169271.0,288887.0,681893.0,0.0,7.0,10.0,64.0,441.0,1068.0,2494.0,102325.0,1594.0,4855.0,10114.0,71685.0,1.0,2.0,4.0,13.0,,,
31,1,0,8,0,33.3,1,0,6.8,19.6,90,0,0,0,0,0,201394,15.0,-1144,991,2135,52,False,0,38,2,5,89,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,20.0,34.0,66.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,13.0,0.0,0.0,0.0,0.0,90.0,270.0,418.0,786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,201394.0,608028.0,1027337.0,2319813.0,15.0,44.0,66.0,104.0,991.0,1574.0,2390.0,269714.0,2135.0,7580.0,19882.0,168475.0,5.0,10.0,14.0,22.0,,,
32,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,763,0.0,4,18,14,48,False,0,38,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763.0,2285.0,3841.0,7685.0,0.0,0.0,0.0,0.0,18.0,26.0,57.0,158.0,14.0,29.0,65.0,162.0,0.0,0.0,0.0,0.0,,,
