,player_id,name,display_slug,team_id,team,team_slug,position,points_per_game,form,news,news_added_at,status,total_points,value_form,value_season,selected_by_percent,influence_rank_overall,creativity_rank_overall,threat_rank_overall,influence_rank_by_position,creativity_rank_by_position,threat_rank_by_position:,ict_index,ict_index_by_position,dreamteam_count,transfers_in,transfers_out,chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,ep_next,ep_this,now_cost,transfers_in_event,transfers_out_event,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,saves,bonus,bps,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
553,481,Matheus Pereira,Pereira,18,west_brom,WBA,MID,2.6,1.2,,2020-12-06T15:00:25.943431Z,a,34,0.2,6.1,0.6,152,17,118,59,14,64,55,31,0,216838,379226,100.0,100.0,0,0,-4,4,0.0,0.2,56,221,1575,1,3,2,26,0,0,0,0,156,2.0,,1.0,,,
554,499,Cedric Kipre,Kipre,18,west_brom,WBA,DEF,0.0,0.0,,,a,0,0.0,0.0,0.0,513,496,478,199,200,191,518,200,0,960,4128,,,0,0,-2,2,0.0,-1.0,43,41,91,0,0,0,0,0,0,0,0,0,,,,,,
555,530,Branislav Ivanovic,Ivanovic,18,west_brom,WBA,DEF,1.6,0.3,,2020-11-08T14:30:17.320180Z,a,18,0.1,4.0,0.1,247,348,216,96,126,57,290,93,0,18318,15373,100.0,100.0,0,0,0,0,0.0,-0.7,45,224,606,0,0,2,18,0,0,0,0,113,,,,,,
556,544,Conor Gallagher,Gallagher,18,west_brom,WBA,MID,2.8,1.7,Suspended until 19 Jan,2021-01-03T00:00:24.189740Z,s,36,0.3,6.5,0.1,122,148,125,45,95,67,130,67,0,17214,12501,0.0,100.0,0,0,0,0,0.0,0.7,55,108,1955,2,0,2,25,0,0,0,3,160,3.0,,,,,
557,555,Filip Krovinovic,Krovinovic,18,west_brom,WBA,MID,1.5,0.7,,,a,17,0.1,3.5,0.0,295,164,249,128,102,126,267,125,0,1470,1421,,,0,0,-1,1,0.0,-0.3,49,26,56,0,0,1,11,0,0,0,0,97,4.0,,,,,
558,582,Karlan Grant,Grant,18,west_brom,WBA,FWD,2.4,1.3,Unknown - Expected back 13 Feb,2021-01-03T00:00:24.231542Z,i,29,0.2,5.0,0.0,287,222,63,34,37,27,188,32,0,11583,10034,0.0,,0,0,-2,2,0.0,0.3,58,135,566,1,0,3,15,0,0,0,3,70,,,3.0,,,
559,600,Lee Peltier,Peltier,18,west_brom,WBA,DEF,0.0,0.0,,,a,0,0.0,0.0,0.1,397,358,420,157,132,168,411,153,0,6867,4681,,,0,0,0,0,0.0,-1.0,40,276,419,0,0,0,5,0,0,0,0,12,,,,,,
560,621,Cheikh Diaby,Diaby,18,west_brom,WBA,FWD,0.0,0.0,,,a,0,0.0,0.0,0.0,570,558,546,68,70,69,573,70,0,898,254,,,0,0,0,0,0.0,0.1,45,898,254,0,0,0,0,0,0,0,0,0,,,,,,
561,427,Mark Noble,Noble,19,west_ham,WHU,MID,1.1,0.5,,2020-11-06T10:00:16.292237Z,a,9,0.1,2.0,0.4,393,282,370,169,156,173,383,170,0,11679,130577,100.0,100.0,0,0,-4,4,0.0,0.5,46,451,1054,0,0,0,5,0,0,0,0,35,5.0,,,,1.0,
562,428,Robert Snodgrass,Snodgrass,19,west_ham,WHU,MID,1.0,0.3,,2020-09-03T14:30:12.052712Z,a,3,0.1,0.5,0.1,452,411,617,191,189,245,457,191,0,1635,8825,100.0,100.0,0,0,-3,3,0.0,0.3,57,89,137,0,0,0,0,0,0,0,0,9,1.0,,,,,
563,429,David Martin,Martin,19,west_ham,WHU,GKP,0.0,0.0,,,a,0,0.0,0.0,7.2,465,444,419,35,8,4,470,35,0,230100,240634,,,0,0,0,0,0.0,0.0,40,6877,13833,0,0,0,0,0,0,0,0,0,,,,,,
564,430,Darren Randolph,Randolph,19,west_ham,WHU,GKP,6.0,1.0,,,a,6,0.2,1.4,0.2,405,508,492,28,41,38,432,28,0,5573,10403,,,0,0,-1,1,0.0,1.0,44,3201,1244,0,0,1,0,0,0,2,0,23,,,,,,
565,431,Lukasz Fabianski,Fabianski,19,west_ham,WHU,GKP,4.4,2.7,Thigh injury - 75% chance of playing,2021-01-01T20:00:19.159859Z,d,71,0.5,13.9,3.8,31,602,598,12,64,63,186,12,1,401468,252966,75.0,,0,0,1,-1,0.0,2.7,51,5303,49712,0,0,5,21,1,0,49,9,308,,,,,,
566,432,Angelo Ogbonna,Ogbonna,19,west_ham,WHU,DEF,3.9,4.7,,2020-11-07T22:30:22.745009Z,a,66,0.9,13.2,2.4,47,243,149,12,60,27,122,30,2,246320,97017,100.0,100.0,0,0,0,0,0.0,4.7,50,22394,15813,2,0,6,21,0,0,0,5,284,,,,,,
567,433,Roberto Jimenez Gago,Roberto,19,west_ham,WHU,GKP,0.0,0.0,Joined Real Valladolid on a permanent deal on 28/8,2020-08-28T09:00:07.307179Z,u,0,0.0,0.0,0.0,542,527,515,69,49,46,546,69,0,400,940,0.0,0.0,0,0,0,0,0.0,0.0,45,4,11,0,0,0,0,0,0,0,0,0,,,,,,
568,434,Jack Wilshere,Wilshere,19,west_ham,WHU,MID,0.0,0.0,"Left the club ""on a permanent basis"" on 5/10",2020-10-05T20:30:12.776224Z,u,0,0.0,0.0,0.1,598,589,583,233,234,232,600,233,0,1167,10021,0.0,0.0,0,0,-1,1,0.0,0.0,49,18,56,0,0,0,0,0,0,0,0,0,,,,,,
569,435,Aaron Cresswell,Cresswell,19,west_ham,WHU,DEF,4.5,4.8,,2020-11-06T10:00:16.308168Z,a,77,0.9,14.3,12.7,43,13,257,10,3,78,45,5,2,1418006,500357,100.0,100.0,1,-1,4,-4,0.0,4.8,54,155596,54490,0,6,6,21,0,0,0,8,367,2.0,,1.0,,,
570,436,Andriy Yarmolenko,Yarmolenko,19,west_ham,WHU,MID,1.0,0.8,,2020-11-15T17:30:21.383249Z,a,9,0.1,1.6,0.1,377,236,253,162,141,129,327,151,0,3952,16190,100.0,100.0,0,0,-5,5,0.0,0.8,55,81,146,0,0,1,4,0,0,0,0,28,4.0,,,,,
571,437,Michail Antonio,Antonio,19,west_ham,WHU,FWD,3.3,0.3,,2020-12-04T14:00:25.318775Z,a,30,0.0,4.8,1.9,205,184,41,25,29,21,90,22,0,193609,753089,100.0,100.0,0,0,-3,3,0.0,0.3,62,18599,8116,3,0,2,9,0,0,0,5,83,,,,,2.0,
572,438,Ryan Fredericks,Fredericks,19,west_ham,WHU,DEF,2.2,1.2,Illness - 75% chance of playing,2021-01-01T20:00:19.178821Z,d,11,0.3,2.6,0.2,278,146,215,106,32,56,245,79,0,16751,47463,75.0,100.0,0,0,-3,3,0.0,1.2,42,334,1493,0,1,1,4,0,0,0,0,69,,,,,,
573,439,Manuel Lanzini,Lanzini,19,west_ham,WHU,MID,1.8,1.2,,2020-12-21T22:30:16.397106Z,a,16,0.2,2.5,0.1,293,235,258,126,140,132,294,139,0,10920,12054,100.0,100.0,0,0,-1,1,0.0,1.2,64,378,492,1,1,0,2,0,0,0,0,62,,,4.0,,3.0,
