player_id,name,display_slug,team_id,team,team_slug,position,points_per_game,form,news,news_added_at,status,total_points,value_form,value_season,selected_by_percent,influence_rank_overall,creativity_rank_overall,threat_rank_overall,influence_rank_by_position,creativity_rank_by_position,threat_rank_by_position:,ict_index,ict_index_by_position,dreamteam_count,transfers_in,transfers_out,chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,ep_next,ep_this,now_cost,transfers_in_event,transfers_out_event,goals_scored,assists,clean_sheets,goals_conceded,penalties_saved,penalties_missed,saves,bonus,bps,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
358,Callum Robinson,Callum Robinson,18,west_brom,WBA,FWD,2.7,3.4,,2020-11-12T11:30:20.560757Z,a,48,0.6,8.9,0.7,248,107,92,29,13,36,155,31,1,177001,151921,100.0,100.0,0,0,-1,1,1.9,5.8,54,18159,7583,2,3,2,27,0,0,0,4,164,,,,,,
407,Kieran Gibbs,Gibbs,18,west_brom,WBA,DEF,0.5,0.8,,2020-12-29T20:00:14.948078Z,a,4,0.2,0.9,0.2,278,269,364,106,74,134,329,111,0,9341,50262,100.0,100.0,0,0,-2,2,-0.7,0.6,43,331,407,0,0,0,18,0,0,0,0,83,,,,,,
408,Hal Robson-Kanu,Robson-Kanu,18,west_brom,WBA,FWD,1.0,0.4,,2020-12-06T22:30:19.880213Z,a,7,0.1,1.3,0.1,424,363,317,47,51,52,403,51,0,8507,31592,100.0,50.0,0,0,-3,3,-1.1,-0.1,52,444,225,0,0,0,5,0,0,0,0,4,,,,,2.0,
409,Jake Livermore,Livermore,18,west_brom,WBA,MID,1.3,0.8,,2020-12-20T22:00:22.999308Z,a,16,0.2,3.4,0.1,272,223,303,116,137,152,303,143,0,4939,14122,100.0,100.0,0,0,-3,3,-0.7,0.6,47,98,87,0,0,1,25,0,0,0,0,70,,,,,,
410,Kamil Grosicki,Grosicki,18,west_brom,WBA,MID,2.7,1.4,,2020-10-20T22:30:19.255186Z,a,8,0.3,1.5,0.0,395,295,350,171,163,169,375,169,0,792,7390,100.0,100.0,0,0,-2,2,-0.1,1.8,53,98,50,0,1,0,5,0,0,0,0,29,5.0,,,,,
411,Matt Phillips,Phillips,18,west_brom,WBA,MID,1.6,1.0,,2020-09-14T10:30:13.911211Z,a,23,0.2,4.5,0.0,280,110,205,119,76,109,224,105,0,4283,10431,100.0,100.0,0,0,-4,4,-0.5,1.0,51,81,229,0,1,0,20,0,0,0,1,77,1.0,,2.0,,,
412,Kyle Bartley,Bartley,18,west_brom,WBA,DEF,2.2,1.2,,2020-12-15T02:30:19.261230Z,a,24,0.3,5.5,0.1,125,346,184,51,127,43,215,67,0,15621,22163,100.0,100.0,0,0,-1,1,-0.3,1.4,44,491,256,1,1,1,24,0,0,0,0,142,,,,,,
413,Romaine Sawyers,Sawyers,18,west_brom,WBA,MID,1.7,1.6,,,a,29,0.3,6.0,0.0,221,181,357,89,111,172,264,124,0,2516,4665,,,0,0,-2,2,0.1,2.2,48,109,128,0,0,1,35,0,0,0,0,175,,,,,,
414,Ahmed El-Sayed Hegazy,Hegazi,18,west_brom,WBA,DEF,6.0,0.0,Joined Al-Ittihad on loan until the end of the season on 25/10. - Expected back 01 Jul,2020-10-26T10:30:20.323870Z,u,6,0.0,1.5,0.1,401,428,464,157,171,184,431,162,0,13027,86136,0.0,0.0,0,0,-4,4,0.0,0.0,41,16,179,0,0,1,0,0,0,0,0,24,,,,,,
415,Charlie Austin,Austin,18,west_brom,WBA,FWD,1.0,0.4,Joined QPR on loan until the end of the season on 9/1. - Expected back 01 Jul,2021-01-09T23:30:21.212858Z,u,5,0.1,1.0,0.2,400,398,314,44,56,51,401,50,0,16185,71059,0.0,0.0,0,0,-4,4,0.0,0.0,51,15,763,0,0,0,5,0,0,0,0,10,,,,,1.0,
